,track_ids,track_name,duration_milliseconds,explicit,popularity,album_id,album_name,album_release_date,track_number_in_album,total_tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,2MyWUHhibF4sQ8dMvvRc7D,Chain Reaction,267525,False,26,4uIyvLn4TJdpwE9Turx140,Quarantine Sessions,2021-09-03,1,8,0.641,0.373,11,-16.408,0,0.0425,0.905,0.868,0.122,0.326,108.068,3
1,5gigZaoOrF4j4f4vdVwwiv,Cranes In The Sky,210077,False,26,4uIyvLn4TJdpwE9Turx140,Quarantine Sessions,2021-09-03,2,8,0.629,0.299,6,-12.056,1,0.0491,0.949,0.898,0.199,0.349,67.785,5
2,5oCcjzjtHvwIUm03gSf5GN,For Carol (feat. Tobie Tripp),284900,False,24,4uIyvLn4TJdpwE9Turx140,Quarantine Sessions,2021-09-03,3,8,0.552,0.242,9,-12.335,1,0.0272,0.926,0.923,0.0927,0.24,101.987,4
3,3AVAi9De2LKPxqFmtLCBSO,Gypsy Woman,179211,False,27,4uIyvLn4TJdpwE9Turx140,Quarantine Sessions,2021-09-03,4,8,0.781,0.294,2,-10.662,0,0.0451,0.974,0.745,0.108,0.504,117.992,4
4,1uU9NrE72HNugIxrVkYaXL,Parabéns (feat. Marcos Valle),248783,False,25,4uIyvLn4TJdpwE9Turx140,Quarantine Sessions,2021-09-03,5,8,0.806,0.756,7,-11.778,1,0.0795,0.866,0.762,0.153,0.819,109.015,4
5,59jWgkNxaxiQEHoubz9O1C,Smells Like Teen Spirit,231863,False,26,4uIyvLn4TJdpwE9Turx140,Quarantine Sessions,2021-09-03,6,8,0.579,0.404,8,-6.376,1,0.0257,0.956,0.917,0.213,0.364,98.959,4
6,4oQ12nYRIDEVvuCZR8sHaa,The Wilhelm Scream,298369,False,21,4uIyvLn4TJdpwE9Turx140,Quarantine Sessions,2021-09-03,7,8,0.398,0.216,0,-12.736,1,0.031,0.933,0.9,0.107,0.165,78.228,4
7,2KH17PL2j1zkGUQ0qA1DUP,Missing You,273295,False,21,4uIyvLn4TJdpwE9Turx140,Quarantine Sessions,2021-09-03,8,8,0.581,0.154,6,-16.599,0,0.0379,0.944,0.864,0.057,0.197,102.966,4
8,5FCKS7cX15Zz6UwmpqKqVR,Chain Reaction - Quarantine Sessions,267525,False,51,0kx3vz4PkhozBIaWYmGQf8,Quarantine Sessions,2021-09-03,1,8,0.641,0.373,11,-16.408,0,0.0425,0.905,0.868,0.122,0.326,108.068,3
9,6Y4RJHIyTjAWP8i0AZrba0,Cranes in the Sky - Quarantine Sessions,210077,False,52,0kx3vz4PkhozBIaWYmGQf8,Quarantine Sessions,2021-09-03,2,8,0.629,0.299,6,-12.056,1,0.0491,0.949,0.898,0.199,0.349,67.785,5
10,0r4OAH6X87B4ZzTwEk05Ya,For Carol - Quarantine Sessions,284900,False,49,0kx3vz4PkhozBIaWYmGQf8,Quarantine Sessions,2021-09-03,3,8,0.552,0.242,9,-12.335,1,0.0272,0.926,0.923,0.0927,0.24,101.987,4
11,1WULiiBUBuJa1Jt5lCsrzR,Gypsy Woman - Quarantine Sessions,179211,False,54,0kx3vz4PkhozBIaWYmGQf8,Quarantine Sessions,2021-09-03,4,8,0.781,0.294,2,-10.662,0,0.0451,0.974,0.745,0.108,0.504,117.992,4
12,342yTV6MKFqMfJRXznYa7o,Parabéns - Quarantine Sessions,248783,False,49,0kx3vz4PkhozBIaWYmGQf8,Quarantine Sessions,2021-09-03,5,8,0.806,0.756,7,-11.778,1,0.0795,0.866,0.762,0.153,0.819,109.015,4
13,7MCWQq99wA9xIk8DvkRO0l,Smells Like Teen Spirit - Quarantine Sessions,231863,False,53,0kx3vz4PkhozBIaWYmGQf8,Quarantine Sessions,2021-09-03,6,8,0.579,0.404,8,-6.376,1,0.0257,0.956,0.917,0.213,0.364,98.959,4
14,5RkIvhw8IZbeOZAYWvwBtJ,The Wilhelm Scream - Quarantine Sessions,298369,False,46,0kx3vz4PkhozBIaWYmGQf8,Quarantine Sessions,2021-09-03,7,8,0.398,0.216,0,-12.736,1,0.031,0.933,0.9,0.107,0.165,78.228,4
15,5PSUcqQSqHDWFd94ryCZX7,Missing You - Quarantine Sessions,273295,False,46,0kx3vz4PkhozBIaWYmGQf8,Quarantine Sessions,2021-09-03,8,8,0.581,0.154,6,-16.599,0,0.0379,0.944,0.864,0.057,0.197,102.966,4
16,47w6S27JF4Zvrz1Wd6R66Z,What Kinda Music,230470,False,55,6iOCv7oGL5sGi2aVnRz2BI,What Kinda Music,2020-04-24,1,12,0.523,0.56,5,-9.423,0,0.145,0.0532,0.83,0.0981,0.151,96.167,4
17,2lXFtsU8naRn2mC0DACJEl,Festival,282408,False,50,6iOCv7oGL5sGi2aVnRz2BI,What Kinda Music,2020-04-24,2,12,0.414,0.478,10,-11.783,0,0.0509,0.322,0.396,0.0773,0.129,152.05,4
